 
                                                                                                                                                                                                                                                                
 
  PERMNO        date             PRC

   77713    20010131        12.93750
   77713    20010228        12.25000
   77713    20010330        11.25000
   77713    20010430         9.90000
   77713    20010531        10.90000
   77713    20010629        12.20000
   77713    20010731        12.48000
   77713    20010831        13.85000
   77713    20010928        12.20000
   77713    20011031        11.05000
   77713    20011130        10.51800
   77713    20011231        12.15000
   77713    20020131        12.08000
   77713    20020228        14.35000
   77713    20020328        14.06000
   77713    20020430        14.33000
   77713    20020531        14.20000
   77713    20020628        14.20000
   77713    20020731          .     
